code,name
014680,한솔케미칼
018880,한온시스템
009420,한올바이오파마
003300,한일홀딩스
051600,한전KPS
052690,한전기술
097230,한진중공업
000880,한화
088350,한화생명
012450,한화에어로스페이스
009830,한화케미칼
000720,현대건설
005440,현대그린푸드
086280,현대글로비스
064350,현대로템
079430,현대리바트
012330,현대모비스
010620,현대미포조선
069960,현대백화점
017800,현대엘리베이
011210,현대위아
004020,현대제철
009540,현대중공업
267250,현대중공업지주
005380,현대차
001450,현대해상
057050,현대홈쇼핑
008770,호텔신라
004800,효성
298040,효성중공업
093370,후성
069260,휴켐스
035760,CJ ENM
051500,CJ프레시웨이
058820,CMG제약
028150,GS홈쇼핑
067290,JW신약
035900,JYP Ent.
035600,KG이니시스
030190,NICE평가정보
218410,RFHIC
178920,SKC코오롱PI
036490,SK머티리얼즈
063080,게임빌
098460,고영
121440,골프존뉴딘홀딩스
089600,나스미디어
092730,네오팜
007390,네이처셀
144510,녹십자랩셀
031390,녹십자셀
068240,다원시스
045390,대아티아이
010170,대한광통신
067080,대화제약
213420,덕산네오룩스
100130,동국S&C
086450,동국제약
005290,동진쎄미켐
025900,동화기업
060570,드림어스컴퍼니
039840,디오
141080,레고켐바이오
058470,리노공업
016100,리더스코스메틱
038290,마크로젠
267980,매일유업
215200,메가스터디교육
086900,메디톡스
078160,메디포스트
140410,메지온
080420,모다이노칩
080160,모두투어
049950,미래컴퍼니
206640,바디텍메드
053030,바이넥스
084990,바이로메드
043150,바텍
100120,뷰웍스
090460,비에이치
000250,삼천당제약
038500,삼표시멘트
038540,상상인
006730,서부T&D
046890,서울반도체
035890,서희건설
014620,성광벤드
015750,성우하이텍
036630,세종텔레콤
068760,셀트리온제약
091990,셀트리온헬스케어
036830,솔브레인
253450,스튜디오드래곤
215600,신라젠
108320,실리콘웍스
096530,씨젠
025980,아난티
092040,아미코젠
067390,아스트
067160,아프리카TV
053800,안랩
065660,안트로젠
217480,에스디생명공학
073070,에스모
056190,에스에프에이
041510,에스엠
007820,에스엠코어
052020,에스티큐브
237690,에스티팜
028300,에이치엘비
067630,에이치엘비생명과학
182400,에이티젠
086520,에코프로
183490,엔지켐생명과학
066970,엘앤에프
115960,연우
039200,오스코텍
048260,오스템임플란트
019210,와이지-원
122870,와이지엔터테인먼트
215360,우리산업
240810,원익IPS
074600,원익QnC
104830,원익머트리얼즈
030530,원익홀딩스
069080,웹젠
044340,위닉스
112040,위메이드
018000,유니슨
023410,유진기업
084370,유진테크
272290,이녹스첨단소재
039030,이오테크닉스
035810,이지바이오
016250,이테크건설
041830,인바디
119610,인터로조
108790,인터파크
051370,인터플렉스
048530,인트론바이오
065620,제낙스
095700,제넥신
036420,제이콘텐트리
082270,젬백스
036930,주성엔지니어링
115450,지트리비앤티
042000,카페24
078340,컴투스
032500,케이엠더블유
041960,코미팜
222040,코스맥스엔비티
241710,코스메카코리아
029960,코엔텍
102940,코오롱생명과학
033290,코웰패션
200130,콜마비앤에이치
083790,크리스탈
237880,클리오
023160,태광
044490,태웅
095610,테스
200230,텔콘RF제약
108230,톱텍
064760,티씨케이
034230,파라다이스
214450,파마리서치프로덕트
091700,파트론
263750,펄어비스
087010,펩트론
043370,평화정공
022100,포스코 ICT
003670,포스코케미칼
031980,피에스케이
003380,하림지주
013030,하이록코리아
063570,한국전자금융
025770,한국정보통신
030520,한글과컴퓨터
045100,한양이엔지
243070,휴온스
084110,휴온스글로벌
145020,휴젤
